都道府県ID_FROM,都道府県ID_TO,距離
01,02,253.8
01,03,373.6
01,04,534.0
01,05,385.9
01,06,542.1
01,07,594.8
01,08,750.4
01,09,732.3
01,10,766.3
01,11,813.4
01,12,834.8
01,13,831.0
01,14,858.2
01,15,606.0
01,16,790.4
01,17,823.9
01,18,892.7
01,19,855.6
01,20,761.7
01,21,940.4
01,22,933.6
01,23,955.4
01,24,1015.5
01,25,1012.1
01,26,1015.1
01,27,1057.9
01,28,1071.6
01,29,1045.4
01,30,1118.1
01,31,1038.7
01,32,1104.7
01,33,1132.0
01,34,1232.6
01,35,1306.1
01,36,1159.9
01,37,1157.2
01,38,1267.0
01,39,1255.8
01,40,1417.1
01,41,1454.9
01,42,1523.4
01,43,1470.5
01,44,1382.7
01,45,1514.9
01,46,1592.3
01,47,2243.8
02,03,129.3
02,04,284.0
02,05,134.2
02,06,288.7
02,07,342.1
02,08,498.3
02,09,478.6
02,10,513.4
02,11,559.6
02,12,581.9
02,13,577.3
02,14,604.5
02,15,356.5
02,16,551.4
02,17,590.2
02,18,659.1
02,19,603.5
02,20,513.8
02,21,698.3
02,22,681.3
02,23,711.0
02,24,772.1
02,25,774.8
02,26,778.7
02,27,821.7
02,28,838.1
02,29,806.7
02,30,882.1
02,31,820.2
02,32,897.8
02,33,909.1
02,34,1020.6
02,35,1100.9
02,36,927.8
02,37,930.9
02,38,1047.8
02,39,1028.6
02,40,1215.4
02,41,1251.1
02,42,1318.9
02,43,1259.7
02,44,1168.4
02,45,1293.5
02,46,1374.7
02,47,2019.4
03,04,161.1
03,05,90.1
03,06,176.2
03,07,224.9
03,08,378.3
03,09,365.6
03,10,410.9
03,11,447.0
03,12,463.9
03,13,463.8
03,14,490.8
03,15,272.4
03,16,480.2
03,17,525.8
03,18,592.4
03,19,502.9
03,20,427.2
03,21,618.2
03,22,579.1
03,23,626.9
03,24,688.6
03,25,700.6
03,26,705.8
03,27,748.1
03,28,767.9
03,29,729.9
03,30,808.0
03,31,767.7
03,32,855.4
03,33,850.3
03,34,971.2
03,35,1056.6
03,36,857.9
03,37,868.0
03,38,991.0
03,39,963.4
03,40,1172.9
03,41,1206.4
03,42,1272.9
03,43,1208.5
03,44,1115.0
03,45,1231.7
03,46,1316.2
03,47,1951.0
04,05,174.2
04,06,44.6
04,07,67.7
04,08,217.2
04,09,208.3
04,10,263.0
04,11,288.9
04,12,303.1
04,13,304.9
04,14,331.7
04,15,167.2
04,16,367.8
04,17,419.2
04,18,479.9
04,19,354.5
04,20,298.1
04,21,488.8
04,22,427.8
04,23,492.8
04,24,553.9
04,25,575.6
04,26,582.2
04,27,622.8
04,28,645.9
04,29,601.5
04,30,681.0
04,31,666.0
04,32,763.0
04,33,739.1
04,34,868.5
04,35,958.2
04,36,734.6
04,37,752.1
04,38,879.6
04,39,843.3
04,40,1074.9
04,41,1105.5
04,42,1169.9
04,43,1100.6
04,44,1005.6
04,45,1112.4
04,46,1199.6
04,47,1821.7
05,06,165.6
05,07,220.8
05,08,376.1
05,09,350.5
05,10,380.5
05,11,430.5
05,12,456.6
05,13,448.7
05,14,475.8
05,15,222.3
05,16,420.3
05,17,461.6
05,18,529.9
05,19,469.9
05,20,379.8
05,21,565.5
05,22,547.8
05,23,577.5
05,24,638.8
05,25,643.6
05,26,647.9
05,27,690.7
05,28,708.3
05,29,674.9
05,30,751.1
05,31,697.5
05,32,780.6
05,33,783.7
05,34,899.9
05,35,983.0
05,36,798.2
05,37,803.9
05,38,923.6
05,39,900.8
05,40,1098.7
05,41,1133.3
05,42,1200.4
05,43,1138.5
05,44,1046.0
05,45,1167.4
05,46,1250.1
05,47,1891.2
06,07,55.2
06,08,210.9
06,09,190.7
06,10,235.5
06,11,272.1
06,12,293.3
06,13,289.4
06,14,316.5
06,15,123.4
06,16,327.3
06,17,377.9
06,18,440.0
06,19,327.6
06,20,261.5
06,21,453.3
06,22,403.1
06,23,459.0
06,24,520.5
06,25,539.0
06,26,545.3
06,27,586.4
06,28,608.7
06,29,566.0
06,30,645.2
06,31,624.7
06,32,720.6
06,33,699.6
06,34,827.6
06,35,916.8
06,36,697.8
06,37,713.6
06,38,840.3
06,39,805.9
06,40,1033.5
06,41,1064.6
06,42,1129.4
06,43,1060.9
06,44,966.1
06,45,1075.0
06,46,1161.7
06,47,1787.4
07,08,156.3
07,09,141.3
07,10,195.9
07,11,222.4
07,12,240.0
07,13,238.9
07,14,265.9
07,15,128.3
07,16,311.8
07,17,364.5
07,18,422.0
07,19,287.0
07,20,236.8
07,21,425.3
07,22,360.1
07,23,427.9
07,24,488.7
07,25,512.9
07,26,519.9
07,27,559.7
07,28,583.8
07,29,537.8
07,30,617.3
07,31,610.2
07,32,709.8
07,33,679.9
07,34,811.3
07,35,902.2
07,36,671.7
07,37,691.3
07,38,819.8
07,39,781.1
07,40,1018.5
07,41,1048.2
07,42,1111.8
07,43,1041.2
07,44,946.0
07,45,1049.8
07,46,1137.6
07,47,1756.4
08,09,56.3
08,10,124.5
08,11,89.7
08,12,86.8
08,13,99.3
08,14,122.9
08,15,214.5
08,16,292.4
08,17,343.6
08,18,381.1
08,19,185.3
08,20,205.9
08,21,352.5
08,22,240.5
08,23,345.1
08,24,399.3
08,25,440.2
08,26,449.1
08,27,483.1
08,28,511.3
08,29,457.0
08,30,534.4
08,31,567.9
08,32,674.4
08,33,619.3
08,34,757.0
08,35,850.6
08,36,592.4
08,37,622.9
08,38,753.0
08,39,702.8
08,40,964.2
08,41,989.4
08,42,1048.9
08,43,973.2
08,44,878.3
08,45,965.9
08,46,1055.9
08,47,1652.0
09,10,76.2
09,11,81.4
09,12,108.8
09,13,98.8
09,14,125.9
09,15,166.8
09,16,239.4
09,17,291.6
09,18,333.5
09,19,155.0
09,20,152.6
09,21,313.5
09,22,222.5
09,23,309.7
09,24,367.2
09,25,402.2
09,26,410.6
09,27,446.9
09,28,473.8
09,29,422.1
09,30,500.8
09,31,522.2
09,32,627.6
09,33,578.7
09,34,715.2
09,35,808.4
09,36,557.8
09,37,584.7
09,38,714.9
09,39,668.4
09,40,923.0
09,41,949.5
09,42,1010.3
09,43,936.1
09,44,840.9
09,45,934.3
09,46,1023.6
09,47,1629.6
10,11,79.5
10,12,129.6
10,13,96.4
10,14,117.1
10,15,167.7
10,16,169.0
10,17,219.4
10,18,257.8
10,19,92.1
10,20,83.9
10,21,238.5
10,22,168.5
10,23,236.6
10,24,295.8
10,25,327.3
10,26,335.5
10,27,372.6
10,28,399.0
10,29,348.6
10,30,427.8
10,31,446.1
10,32,551.8
10,33,502.9
10,34,639.1
10,35,732.2
10,36,484.1
10,37,509.5
10,38,639.5
10,39,594.5
10,40,846.9
10,41,873.6
10,42,934.8
10,43,861.0
10,44,765.7
10,45,861.5
10,46,950.4
10,47,1562.0
11,12,51.2
11,13,19.0
11,14,45.4
11,15,233.7
11,16,237.9
11,17,283.9
11,18,310.0
11,19,100.0
11,20,158.7
11,21,270.1
11,22,150.8
11,23,259.8
11,24,311.8
11,25,356.1
11,26,365.4
11,27,397.4
11,28,426.3
11,29,370.7
11,30,447.1
11,31,491.3
11,32,598.8
11,33,536.5
11,34,674.9
11,35,768.7
11,36,505.4
11,37,538.0
11,38,667.8
11,39,615.5
11,40,881.1
11,41,905.1
11,42,963.6
11,43,887.1
11,44,792.5
11,45,877.3
11,46,967.5
11,47,1562.4
12,13,40.2
12,14,47.0
12,15,273.2
12,16,288.6
12,17,333.5
12,18,356.2
12,19,141.0
12,20,209.9
12,21,309.5
12,22,172.9
12,23,296.0
12,24,343.3
12,25,392.6
12,26,402.4
12,27,431.6
12,28,461.4
12,29,404.0
12,30,477.9
12,31,533.6
12,32,641.4
12,33,573.5
12,34,712.1
12,35,806.0
12,36,536.7
12,37,572.6
12,38,701.5
12,39,645.8
12,40,917.0
12,41,939.6
12,42,996.6
12,43,918.9
12,44,824.9
12,45,903.6
12,46,994.2
12,47,1578.3
13,14,27.2
13,15,252.7
13,16,249.4
13,17,293.6
13,18,316.1
13,19,101.7
13,20,172.8
13,21,271.3
13,22,142.8
13,23,259.1
13,24,308.7
13,25,355.7
13,26,365.3
13,27,395.9
13,28,425.2
13,29,368.7
13,30,443.9
13,31,494.6
13,32,602.3
13,33,536.6
13,34,675.1
13,35,769.0
13,36,502.5
13,37,536.7
13,38,666.1
13,39,612.2
13,40,880.6
13,41,904.0
13,42,961.7
13,43,884.6
13,44,790.2
13,45,872.3
13,46,962.7
13,47,1553.6
14,15,277.9
14,16,259.1
14,17,300.2
14,18,316.8
14,19,100.3
14,20,187.5
14,21,265.3
14,22,126.0
14,23,250.5
14,24,296.6
14,25,347.1
14,26,356.9
14,27,385.4
14,28,415.3
14,29,357.6
14,30,431.1
14,31,490.4
14,32,598.3
14,33,527.9
14,34,666.5
14,35,760.3
14,36,489.9
14,37,526.3
14,38,655.0
14,39,598.9
14,40,870.8
14,41,893.2
14,42,949.9
14,43,872.1
14,44,778.2
14,45,856.7
14,46,947.3
14,47,1533.2
15,16,209.2
15,17,257.5
15,18,322.1
15,19,251.7
15,20,157.7
15,21,346.4
15,22,329.6
15,23,356.6
15,24,418.2
15,25,428.2
15,26,433.5
15,27,475.7
15,28,495.8
15,29,457.7
15,30,535.7
15,31,503.6
15,32,597.9
15,33,581.5
15,34,707.0
15,35,795.3
15,36,585.7
15,37,597.5
15,38,722.4
15,39,691.9
15,40,912.1
15,41,943.7
15,42,1009.1
15,43,941.9
15,44,847.5
15,45,960.6
15,46,1046.1
15,47,1678.6
16,17,53.6
16,18,113.0
16,19,167.3
16,20,86.8
16,21,151.3
16,22,218.1
16,23,170.3
16,24,227.1
16,25,223.4
16,26,227.6
16,27,270.4
16,28,288.3
16,29,255.5
16,30,330.8
16,31,298.6
16,32,398.5
16,33,372.6
16,34,500.6
16,35,590.7
16,36,378.3
16,37,388.4
16,38,513.5
16,39,483.2
16,40,707.3
16,41,737.7
